geneid,DSG
SPU_000002,0
SPU_000003,0
SPU_000004,0
SPU_000006,0
SPU_000007,0
SPU_000008,0
SPU_000009,0
SPU_000010,0
SPU_000011,0
SPU_000012,0
SPU_000013,0
SPU_000014,0
SPU_000015,0
SPU_000016,0
SPU_000017,0
SPU_000021,0
SPU_000022,0
SPU_000023,0
SPU_000024,0
SPU_000025,0
SPU_000026,0
SPU_000028,0
SPU_000029,0
SPU_000031,0
SPU_000032,0
SPU_000033,0
SPU_000034,0
SPU_000035,0
SPU_000037,0
SPU_000040,0
SPU_000041,0
SPU_000042,0
SPU_000043,0
SPU_000044,0
SPU_000046,0
SPU_000047,0
SPU_000048,0
SPU_000049,0
SPU_000050,0
SPU_000052,0
SPU_000053,0
SPU_000054,0
SPU_000055,0
SPU_000056,0
SPU_000057,0
SPU_000059,0
SPU_000060,0
SPU_000061,0
SPU_000062,0
SPU_000063,0
SPU_000066,0
SPU_000067,0
SPU_000068,0
SPU_000069,0
SPU_000070,0
SPU_000071,0
SPU_000072,0
SPU_000073,0
SPU_000074,0
SPU_000075,0
SPU_000076,0
SPU_000077,0
SPU_000080,0
SPU_000081,0
SPU_000082,0
SPU_000084,0
SPU_000085,0
SPU_000086,0
SPU_000087,0
SPU_000088,0
SPU_000089,0
SPU_000090,0
SPU_000091,0
SPU_000092,0
SPU_000094,0
SPU_000095,0
SPU_000096,0
SPU_000098,0
SPU_000100,0
SPU_000101,0
SPU_000105,0
SPU_000106,0
SPU_000109,0
SPU_000111,0
SPU_000113,0
SPU_000116,0
SPU_000118,0
SPU_000121,0
SPU_000122,0
SPU_000124,0
SPU_000126,0
SPU_000127,0
SPU_000128,0
SPU_000129,0
SPU_000130,0
SPU_000131,0
SPU_000133,0
SPU_000134,0
SPU_000135,0
SPU_000137,0
SPU_000138,0
SPU_000139,0
SPU_000141,0
SPU_000142,0
SPU_000144,0
SPU_000145,0
SPU_000146,0
SPU_000148,0
SPU_000150,0
SPU_000151,0
SPU_000152,0
SPU_000153,0
SPU_000156,0
SPU_000157,0
SPU_000158,0
SPU_000159,0
SPU_000162,0
SPU_000163,0
SPU_000165,0
SPU_000166,0
SPU_000167,0
SPU_000168,0
SPU_000169,0
SPU_000170,0
SPU_000171,0
SPU_000172,0
SPU_000173,0
SPU_000174,0
SPU_000175,0
SPU_000176,0
SPU_000177,0
SPU_000178,0
SPU_000181,0
SPU_000183,0
SPU_000184,0
SPU_000185,0
SPU_000187,0
SPU_000188,0
SPU_000189,0
SPU_000191,0
SPU_000192,0
SPU_000193,0
SPU_000195,0
SPU_000197,0
SPU_000200,0
SPU_000201,0
SPU_000202,0
SPU_000205,0
SPU_000206,0
SPU_000207,0
SPU_000208,0
SPU_000210,0
SPU_000211,0
SPU_000212,0
SPU_000214,0
SPU_000215,0
SPU_000216,0
SPU_000217,0
SPU_000218,0
SPU_000220,0
SPU_000222,0
SPU_000223,0
SPU_000224,0
SPU_000225,0
SPU_000227,0
SPU_000229,0
SPU_000230,0
SPU_000232,0
SPU_000236,0
SPU_000239,0
SPU_000240,0
SPU_000241,0
SPU_000242,0
SPU_000243,0
SPU_000244,0
SPU_000245,0
SPU_000246,0
SPU_000247,0
SPU_000248,0
SPU_000249,0
SPU_000250,0
SPU_000251,0
SPU_000252,0
SPU_000253,0
SPU_000255,0
SPU_000256,0
SPU_000257,0
SPU_000258,0
SPU_000260,0
SPU_000261,0
SPU_000265,0
SPU_000266,0
SPU_000267,0
SPU_000268,0
SPU_000270,0
SPU_000273,0
SPU_000275,0
SPU_000276,0
SPU_000277,0
SPU_000278,0
SPU_000279,0
SPU_000281,0
SPU_000282,0
SPU_000283,0
SPU_000285,0
SPU_000286,0
SPU_000287,0
SPU_000288,0
SPU_000290,0
SPU_000291,0
SPU_000292,0
SPU_000294,0
SPU_000295,0
SPU_000296,0
SPU_000297,0
SPU_000298,0
SPU_000301,0
SPU_000303,0
SPU_000304,0
SPU_000305,0
SPU_000308,0
SPU_000309,0
SPU_000310,0
SPU_000311,0
SPU_000312,0
SPU_000313,0
SPU_000314,0
SPU_000315,0
SPU_000316,0
SPU_000318,0
SPU_000319,0
SPU_000320,0
SPU_000321,0
SPU_000322,0
SPU_000323,0
SPU_000324,0
SPU_000325,0
SPU_000326,0
SPU_000327,0
SPU_000328,0
SPU_000329,0
SPU_000330,0
SPU_000333,0
SPU_000334,0
SPU_000335,0
SPU_000338,0
SPU_000339,0
SPU_000341,0
SPU_000342,0
SPU_000343,0
SPU_000345,0
SPU_000346,0
SPU_000350,0
SPU_000352,0
SPU_000353,0
SPU_000354,0
SPU_000355,0
SPU_000356,0
SPU_000358,0
SPU_000359,0
SPU_000360,0
SPU_000361,0
SPU_000362,0
SPU_000363,0
SPU_000364,0
SPU_000367,0
SPU_000371,0
SPU_000373,0
SPU_000376,0
SPU_000377,0
SPU_000378,0
SPU_000379,0
SPU_000380,0
SPU_000381,0
SPU_000382,0
SPU_000385,0
SPU_000392,0
SPU_000393,0
SPU_000394,0
SPU_000395,0
SPU_000396,0
SPU_000397,0
SPU_000399,0
SPU_000402,0
SPU_000403,0
SPU_000405,0
SPU_000406,0
SPU_000408,0
SPU_000409,0
SPU_000410,0
SPU_000414,0
SPU_000417,0
SPU_000418,0
SPU_000419,0
SPU_000422,0
SPU_000423,0
SPU_000424,0
SPU_000426,0
SPU_000427,0
SPU_000429,0
SPU_000430,0
SPU_000431,0
SPU_000432,0
SPU_000434,0
SPU_000435,0
SPU_000436,0
SPU_000437,0
SPU_000438,0
SPU_000439,0
SPU_000440,0
SPU_000441,0
SPU_000442,0
SPU_000443,0
SPU_000446,0
SPU_000448,0
SPU_000452,0
SPU_000453,0
SPU_000454,0
SPU_000455,0
SPU_000456,0
SPU_000457,0
SPU_000458,0
SPU_000459,0
SPU_000460,0
SPU_000461,0
SPU_000468,0
SPU_000469,0
SPU_000471,0
SPU_000473,0
SPU_000476,0
SPU_000477,0
SPU_000478,0
SPU_000479,0
SPU_000480,0
SPU_000481,0
SPU_000482,0
SPU_000484,0
SPU_000485,0
SPU_000486,0
SPU_000487,0
SPU_000488,0
SPU_000490,0
